country_code,vd,ad,X,ad_rank,Y,Z,GCI,F
CN,0.0499246850465583,0.044219006755523,0.0001872175689245,55.0,78.13765182186235,53.575,92.53,4186.224696356276
CO,0.0589589222183239,0.0196529740727746,0.0002210959583187,71.0,71.65991902834008,50.0,63.72,3582.995951417004
CR,0.5889149712786168,0.0,0.0022084311422948,77.0,69.23076923076923,83.32499999999999,67.45,5768.653846153845
CU,0.0,0.0,0.0,77.0,69.23076923076923,0.0,58.76,0.0
CV,0.0,0.0,0.0,77.0,69.23076923076923,0.0,17.74,0.0
CW,6.451030229527656,0.0,0.0241913633607287,77.0,69.23076923076923,50.0,,3461.5384615384614
CX,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
CY,4.969516159624172,0.0,0.0186356855985906,77.0,69.23076923076923,58.325,88.82,4037.8846153846152
CZ,0.9346758768381336,0.0,0.003505034538143,77.0,69.23076923076923,55.00000000000001,74.37,3807.692307692308
DE,0.6847626201300389,0.0240267586010539,0.0025678598254876,69.0,72.46963562753037,57.02499999999999,97.41,4132.580971659919
DJ,0.0,0.0,0.0,77.0,69.23076923076923,0.0,1.73,0.0
DK,2.057823467556012,0.171485288963001,0.007716838003335,37.0,85.4251012145749,54.175,92.6,4627.904858299595
DM,0.0,0.0,0.0,77.0,69.23076923076923,0.0,4.2,0.0
DO,0.0,0.0,0.0,77.0,69.23076923076923,0.0,75.05,0.0
DZ,0.0223713646532438,0.0,8.389261744966425e-05,77.0,69.23076923076923,50.0,33.95,3461.5384615384614
EC,0.2833975512184394,0.0,0.0010627408170691,77.0,69.23076923076923,70.0,26.3,4846.153846153846
EE,3.0051305090615954,1.5025652545307977,0.0112692394089809,6.0,97.97570850202428,75.0,99.48,7348.178137651821
EG,0.0586313089645913,0.0097718848274318,0.0002198674086172,74.0,70.44534412955466,66.67500000000001,95.48,4696.9433198380575
EH,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
ER,0.0,0.0,0.0,77.0,69.23076923076923,0.0,1.73,0.0
ES,0.5068470067738202,0.0,0.0019006762754018,77.0,69.23076923076923,56.25,98.52,3894.230769230769
ET,0.0260952200837373,0.0086984066945791,9.785707531401488e-05,75.0,70.04048582995951,50.0,27.74,3502.0242914979754
FI,1.627274862454592,0.0,0.0061022807342047,77.0,69.23076923076923,66.67500000000001,95.78,4615.961538461539
FJ,0.0,0.0,0.0,77.0,69.23076923076923,0.0,29.08,0.0
FK,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
FM,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
FO,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
FR,0.5193526989765577,0.0296772970843747,0.001947572621162,63.0,74.89878542510121,48.575,97.6,3638.2085020242916
