Column,DataType
actor.external.variety.Nation-state,bool
actor.external.variety.Organized crime,bool
actor.external.variety.Other,bool
actor.external.variety.State-affiliated,bool
actor.external.variety.Terrorist,bool
actor.external.variety.Unaffiliated,bool
actor.external.variety.Unknown,bool
actor.internal.job_change.Demoted,bool
actor.internal.job_change.Hired,bool
actor.internal.job_change.Job eval,bool
actor.internal.job_change.Lateral move,bool
actor.internal.job_change.Let go,bool
actor.internal.job_change.Other,bool
actor.internal.job_change.Passed over,bool
actor.internal.job_change.Personal issues,bool
actor.internal.job_change.Promoted,bool
actor.internal.job_change.Reprimanded,bool
actor.internal.job_change.Resigned,bool
actor.internal.job_change.Unknown,bool
actor.internal.motive.Convenience,bool
actor.internal.motive.Espionage,bool
actor.internal.motive.Fear,bool
actor.internal.motive.Financial,bool
actor.internal.motive.Fun,bool
actor.internal.motive.Grudge,bool
actor.internal.motive.Ideology,bool
actor.internal.motive.NA,bool
actor.internal.motive.Other,bool
actor.internal.motive.Secondary,bool
actor.internal.motive.Unknown,bool
actor.internal.notes,object
actor.internal.variety.Auditor,bool
actor.internal.variety.Call center,bool
actor.internal.variety.Cashier,bool
actor.internal.variety.Developer,bool
actor.internal.variety.Doctor or nurse,bool
actor.internal.variety.End-user,bool
actor.internal.variety.Executive,bool
actor.internal.variety.Finance,bool
actor.internal.variety.Guard,bool
actor.internal.variety.Helpdesk,bool
actor.internal.variety.Human resources,bool
actor.internal.variety.Maintenance,bool
actor.internal.variety.Manager,bool
actor.internal.variety.Other,bool
actor.internal.variety.System admin,bool
actor.internal.variety.Unknown,bool
actor.partner.country.AD,bool
actor.partner.country.AE,bool
actor.partner.country.AF,bool
actor.partner.country.AG,bool
actor.partner.country.AI,bool
actor.partner.country.AL,bool
actor.partner.country.AM,bool
actor.partner.country.AO,bool
actor.partner.country.AQ,bool
actor.partner.country.AR,bool
actor.partner.country.AS,bool
actor.partner.country.AT,bool
actor.partner.country.AU,bool
actor.partner.country.AW,bool
actor.partner.country.AX,bool
actor.partner.country.AZ,bool
actor.partner.country.BA,bool
actor.partner.country.BB,bool
actor.partner.country.BD,bool
actor.partner.country.BE,bool
actor.partner.country.BF,bool
actor.partner.country.BG,bool
actor.partner.country.BH,bool
actor.partner.country.BI,bool
actor.partner.country.BJ,bool
actor.partner.country.BL,bool
actor.partner.country.BM,bool
actor.partner.country.BN,bool
actor.partner.country.BO,bool
actor.partner.country.BQ,bool
actor.partner.country.BR,bool
actor.partner.country.BS,bool
actor.partner.country.BT,bool
actor.partner.country.BV,bool
actor.partner.country.BW,bool
actor.partner.country.BY,bool
actor.partner.country.BZ,bool
actor.partner.country.CA,bool
actor.partner.country.CC,bool
actor.partner.country.CD,bool
actor.partner.country.CF,bool
actor.partner.country.CG,bool
actor.partner.country.CH,bool
actor.partner.country.CI,bool
actor.partner.country.CK,bool
actor.partner.country.CL,bool
actor.partner.country.CM,bool
actor.partner.country.CN,bool
actor.partner.country.CO,bool
actor.partner.country.CR,bool
actor.partner.country.CU,bool
actor.partner.country.CV,bool
actor.partner.country.CW,bool
actor.partner.country.CX,bool
actor.partner.country.CY,bool
actor.partner.country.CZ,bool
actor.partner.country.DE,bool
actor.partner.country.DJ,bool
actor.partner.country.DK,bool
actor.partner.country.DM,bool
actor.partner.country.DO,bool
actor.partner.country.DZ,bool
actor.partner.country.EC,bool
actor.partner.country.EE,bool
actor.partner.country.EG,bool
actor.partner.country.EH,bool
actor.partner.country.ER,bool
actor.partner.country.ES,bool
actor.partner.country.ET,bool
actor.partner.country.FI,bool
actor.partner.country.FJ,bool
actor.partner.country.FK,bool
actor.partner.country.FM,bool
actor.partner.country.FO,bool
actor.partner.country.FR,bool
actor.partner.country.GA,bool
actor.partner.country.GB,bool
actor.partner.country.GD,bool
actor.partner.country.GE,bool
actor.partner.country.GF,bool
actor.partner.country.GG,bool
actor.partner.country.GH,bool
actor.partner.country.GI,bool
actor.partner.country.GL,bool
actor.partner.country.GM,bool
actor.partner.country.GN,bool
actor.partner.country.GP,bool
actor.partner.country.GQ,bool
actor.partner.country.GR,bool
actor.partner.country.GS,bool
actor.partner.country.GT,bool
actor.partner.country.GU,bool
actor.partner.country.GW,bool
actor.partner.country.GY,bool
actor.partner.country.HK,bool
actor.partner.country.HM,bool
actor.partner.country.HN,bool
actor.partner.country.HR,bool
actor.partner.country.HT,bool
actor.partner.country.HU,bool
actor.partner.country.ID,bool
actor.partner.country.IE,bool
actor.partner.country.IL,bool
actor.partner.country.IM,bool
actor.partner.country.IN,bool
actor.partner.country.IO,bool
actor.partner.country.IQ,bool
actor.partner.country.IR,bool
actor.partner.country.IS,bool
actor.partner.country.IT,bool
actor.partner.country.JE,bool
actor.partner.country.JM,bool
actor.partner.country.JO,bool
actor.partner.country.JP,bool
actor.partner.country.KE,bool
actor.partner.country.KG,bool
actor.partner.country.KH,bool
actor.partner.country.KI,bool
actor.partner.country.KM,bool
actor.partner.country.KN,bool
actor.partner.country.KP,bool
actor.partner.country.KR,bool
actor.partner.country.KW,bool
actor.partner.country.KY,bool
actor.partner.country.KZ,bool
actor.partner.country.LA,bool
actor.partner.country.LB,bool
actor.partner.country.LC,bool
actor.partner.country.LI,bool
actor.partner.country.LK,bool
actor.partner.country.LR,bool
actor.partner.country.LS,bool
actor.partner.country.LT,bool
actor.partner.country.LU,bool
actor.partner.country.LV,bool
actor.partner.country.LY,bool
actor.partner.country.MA,bool
actor.partner.country.MC,bool
actor.partner.country.MD,bool
actor.partner.country.ME,bool
actor.partner.country.MF,bool
actor.partner.country.MG,bool
actor.partner.country.MH,bool
actor.partner.country.MK,bool
actor.partner.country.ML,bool
actor.partner.country.MM,bool
actor.partner.country.MN,bool
actor.partner.country.MO,bool
actor.partner.country.MP,bool
actor.partner.country.MQ,bool
actor.partner.country.MR,bool
actor.partner.country.MS,bool
actor.partner.country.MT,bool
actor.partner.country.MU,bool
actor.partner.country.MV,bool
actor.partner.country.MW,bool
actor.partner.country.MX,bool
actor.partner.country.MY,bool
actor.partner.country.MZ,bool
actor.partner.country.NA,bool
actor.partner.country.NC,bool
actor.partner.country.NE,bool
actor.partner.country.NF,bool
actor.partner.country.NG,bool
actor.partner.country.NI,bool
actor.partner.country.NL,bool
actor.partner.country.NO,bool
actor.partner.country.NP,bool
actor.partner.country.NR,bool
actor.partner.country.NU,bool
actor.partner.country.NZ,bool
actor.partner.country.OM,bool
actor.partner.country.Other,bool
actor.partner.country.PA,bool
actor.partner.country.PE,bool
actor.partner.country.PF,bool
actor.partner.country.PG,bool
actor.partner.country.PH,bool
actor.partner.country.PK,bool
actor.partner.country.PL,bool
actor.partner.country.PM,bool
actor.partner.country.PN,bool
actor.partner.country.PR,bool
actor.partner.country.PS,bool
actor.partner.country.PT,bool
actor.partner.country.PW,bool
actor.partner.country.PY,bool
actor.partner.country.QA,bool
actor.partner.country.RE,bool
actor.partner.country.RO,bool
actor.partner.country.RS,bool
actor.partner.country.RU,bool
actor.partner.country.RW,bool
actor.partner.country.SA,bool
actor.partner.country.SB,bool
actor.partner.country.SC,bool
actor.partner.country.SD,bool
actor.partner.country.SE,bool
actor.partner.country.SG,bool
actor.partner.country.SH,bool
actor.partner.country.SI,bool
actor.partner.country.SJ,bool
actor.partner.country.SK,bool
actor.partner.country.SL,bool
actor.partner.country.SM,bool
actor.partner.country.SN,bool
actor.partner.country.SO,bool
actor.partner.country.SR,bool
actor.partner.country.SS,bool
actor.partner.country.ST,bool
actor.partner.country.SV,bool
actor.partner.country.SX,bool
actor.partner.country.SY,bool
actor.partner.country.SZ,bool
actor.partner.country.TC,bool
actor.partner.country.TD,bool
actor.partner.country.TF,bool
actor.partner.country.TG,bool
actor.partner.country.TH,bool
actor.partner.country.TJ,bool
actor.partner.country.TK,bool
actor.partner.country.TL,bool
actor.partner.country.TM,bool
actor.partner.country.TN,bool
actor.partner.country.TO,bool
actor.partner.country.TR,bool
actor.partner.country.TT,bool
actor.partner.country.TV,bool
actor.partner.country.TW,bool
actor.partner.country.TZ,bool
actor.partner.country.UA,bool
actor.partner.country.UG,bool
actor.partner.country.UM,bool
actor.partner.country.Unknown,bool
actor.partner.country.US,bool
actor.partner.country.UY,bool
actor.partner.country.UZ,bool
actor.partner.country.VA,bool
actor.partner.country.VC,bool
actor.partner.country.VE,bool
actor.partner.country.VG,bool
actor.partner.country.VI,bool
actor.partner.country.VN,bool
actor.partner.country.VU,bool
actor.partner.country.WF,bool
actor.partner.country.WS,bool
actor.partner.country.XK,bool
actor.partner.country.YE,bool
actor.partner.country.YT,bool
actor.partner.country.ZA,bool
actor.partner.country.ZM,bool
actor.partner.country.ZW,bool
actor.partner.industry,float64
actor.partner.motive.Convenience,bool
actor.partner.motive.Espionage,bool
actor.partner.motive.Fear,bool
actor.partner.motive.Financial,bool
actor.partner.motive.Fun,bool
actor.partner.motive.Grudge,bool
actor.partner.motive.Ideology,bool
actor.partner.motive.NA,bool
actor.partner.motive.Other,bool
actor.partner.motive.Secondary,bool
actor.partner.motive.Unknown,bool
actor.partner.name,object
actor.partner.notes,object
actor.partner.region,object
actor.unknown.notes,object
asset.assets.amount.E - Other,float64
asset.assets.amount.E - Telematics,float64
asset.assets.amount.E - Telemetry,float64
asset.assets.amount.E - Unknown,float64
asset.assets.amount.M - Disk drive,float64
asset.assets.amount.M - Disk media,float64
asset.assets.amount.M - Documents,float64
asset.assets.amount.M - Fax,float64
asset.assets.amount.M - Flash drive,float64
asset.assets.amount.M - Other,float64
asset.assets.amount.M - Payment card,float64
